transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43043.913931	0.05	B3Sigma-	4	48	F2	e	X3Sigma-	0	49	F1	e	22HeStLy.98
43780.260489	0.05	B3Sigma-	4	1	F1	f	X3Sigma-	0	2	F1	f	22HeStLy.99
43777.894407	0.05	B3Sigma-	4	2	F1	f	X3Sigma-	0	3	F1	f	22HeStLy.100
43775.056040	0.05	B3Sigma-	4	3	F1	f	X3Sigma-	0	4	F1	f	22HeStLy.101
43771.745423	0.05	B3Sigma-	4	4	F1	f	X3Sigma-	0	5	F1	f	22HeStLy.102
43767.962591	0.05	B3Sigma-	4	5	F1	f	X3Sigma-	0	6	F1	f	22HeStLy.103
43763.707585	0.05	B3Sigma-	4	6	F1	f	X3Sigma-	0	7	F1	f	22HeStLy.104
43758.980447	0.05	B3Sigma-	4	7	F1	f	X3Sigma-	0	8	F1	f	22HeStLy.105
43753.781223	0.05	B3Sigma-	4	8	F1	f	X3Sigma-	0	9	F1	f	22HeStLy.106
43748.109958	0.05	B3Sigma-	4	9	F1	f	X3Sigma-	0	10	F1	f	22HeStLy.107
43741.966704	0.05	B3Sigma-	4	10	F1	f	X3Sigma-	0	11	F1	f	22HeStLy.108
43735.351513	0.05	B3Sigma-	4	11	F1	f	X3Sigma-	0	12	F1	f	22HeStLy.109
43728.264440	0.05	B3Sigma-	4	12	F1	f	X3Sigma-	0	13	F1	f	22HeStLy.110
43720.705544	0.05	B3Sigma-	4	13	F1	f	X3Sigma-	0	14	F1	f	22HeStLy.111
43712.674885	0.05	B3Sigma-	4	14	F1	f	X3Sigma-	0	15	F1	f	22HeStLy.112
43704.172526	0.05	B3Sigma-	4	15	F1	f	X3Sigma-	0	16	F1	f	22HeStLy.113
43695.198532	0.05	B3Sigma-	4	16	F1	f	X3Sigma-	0	17	F1	f	22HeStLy.114
43685.752973	0.05	B3Sigma-	4	17	F1	f	X3Sigma-	0	18	F1	f	22HeStLy.115
43675.835919	0.05	B3Sigma-	4	18	F1	f	X3Sigma-	0	19	F1	f	22HeStLy.116
43665.447444	0.05	B3Sigma-	4	19	F1	f	X3Sigma-	0	20	F1	f	22HeStLy.117
43654.587625	0.05	B3Sigma-	4	20	F1	f	X3Sigma-	0	21	F1	f	22HeStLy.118
43643.256540	0.05	B3Sigma-	4	21	F1	f	X3Sigma-	0	22	F1	f	22HeStLy.119
43631.454270	0.05	B3Sigma-	4	22	F1	f	X3Sigma-	0	23	F1	f	22HeStLy.120
43619.180900	0.05	B3Sigma-	4	23	F1	f	X3Sigma-	0	24	F1	f	22HeStLy.121
43606.436518	0.05	B3Sigma-	4	24	F1	f	X3Sigma-	0	25	F1	f	22HeStLy.122
43593.221211	0.05	B3Sigma-	4	25	F1	f	X3Sigma-	0	26	F1	f	22HeStLy.123
43579.535074	0.05	B3Sigma-	4	26	F1	f	X3Sigma-	0	27	F1	f	22HeStLy.124
43565.378200	0.05	B3Sigma-	4	27	F1	f	X3Sigma-	0	28	F1	f	22HeStLy.125
43550.750686	0.05	B3Sigma-	4	28	F1	f	X3Sigma-	0	29	F1	f	22HeStLy.126
43535.652634	0.05	B3Sigma-	4	29	F1	f	X3Sigma-	0	30	F1	f	22HeStLy.127
43520.084146	0.05	B3Sigma-	4	30	F1	f	X3Sigma-	0	31	F1	f	22HeStLy.128
43504.045327	0.05	B3Sigma-	4	31	F1	f	X3Sigma-	0	32	F1	f	22HeStLy.129
43487.536286	0.05	B3Sigma-	4	32	F1	f	X3Sigma-	0	33	F1	f	22HeStLy.130
43470.557133	0.05	B3Sigma-	4	33	F1	f	X3Sigma-	0	34	F1	f	22HeStLy.131
43453.107983	0.05	B3Sigma-	4	34	F1	f	X3Sigma-	0	35	F1	f	22HeStLy.132
43435.188951	0.05	B3Sigma-	4	35	F1	f	X3Sigma-	0	36	F1	f	22HeStLy.133
43416.800156	0.05	B3Sigma-	4	36	F1	f	X3Sigma-	0	37	F1	f	22HeStLy.134
43397.941720	0.05	B3Sigma-	4	37	F1	f	X3Sigma-	0	38	F1	f	22HeStLy.135
43378.613767	0.05	B3Sigma-	4	38	F1	f	X3Sigma-	0	39	F1	f	22HeStLy.136
43358.816425	0.05	B3Sigma-	4	39	F1	f	X3Sigma-	0	40	F1	f	22HeStLy.137
43338.549823	0.05	B3Sigma-	4	40	F1	f	X3Sigma-	0	41	F1	f	22HeStLy.138
43317.814094	0.05	B3Sigma-	4	41	F1	f	X3Sigma-	0	42	F1	f	22HeStLy.139
43296.609373	0.05	B3Sigma-	4	42	F1	f	X3Sigma-	0	43	F1	f	22HeStLy.140
43274.935798	0.05	B3Sigma-	4	43	F1	f	X3Sigma-	0	44	F1	f	22HeStLy.141
43252.793510	0.05	B3Sigma-	4	44	F1	f	X3Sigma-	0	45	F1	f	22HeStLy.142
43230.182652	0.05	B3Sigma-	4	45	F1	f	X3Sigma-	0	46	F1	f	22HeStLy.143
43207.103371	0.05	B3Sigma-	4	46	F1	f	X3Sigma-	0	47	F1	f	22HeStLy.144
43183.555816	0.05	B3Sigma-	4	47	F1	f	X3Sigma-	0	48	F1	f	22HeStLy.145
43159.540138	0.05	B3Sigma-	4	48	F1	f	X3Sigma-	0	49	F1	f	22HeStLy.146
43790.879424	0.05	B3Sigma-	4	1	F1	e	X3Sigma-	0	2	F2	e	22HeStLy.147
43790.029355	0.05	B3Sigma-	4	2	F1	e	X3Sigma-	0	3	F2	e	22HeStLy.148
43788.995522	0.05	B3Sigma-	4	3	F1	e	X3Sigma-	0	4	F2	e	22HeStLy.149
43787.668521	0.05	B3Sigma-	4	4	F1	e	X3Sigma-	0	5	F2	e	22HeStLy.150
43785.982781	0.05	B3Sigma-	4	5	F1	e	X3Sigma-	0	6	F2	e	22HeStLy.151
43783.899418	0.05	B3Sigma-	4	6	F1	e	X3Sigma-	0	7	F2	e	22HeStLy.152
43781.394777	0.05	B3Sigma-	4	7	F1	e	X3Sigma-	0	8	F2	e	22HeStLy.153
43778.453937	0.05	B3Sigma-	4	8	F1	e	X3Sigma-	0	9	F2	e	22HeStLy.154
43775.067134	0.05	B3Sigma-	4	9	F1	e	X3Sigma-	0	10	F2	e	22HeStLy.155
43771.227760	0.05	B3Sigma-	4	10	F1	e	X3Sigma-	0	11	F2	e	22HeStLy.156
43766.931203	0.05	B3Sigma-	4	11	F1	e	X3Sigma-	0	12	F2	e	22HeStLy.157
43762.174161	0.05	B3Sigma-	4	12	F1	e	X3Sigma-	0	13	F2	e	22HeStLy.158
43756.954214	0.05	B3Sigma-	4	13	F1	e	X3Sigma-	0	14	F2	e	22HeStLy.159
43751.269553	0.05	B3Sigma-	4	14	F1	e	X3Sigma-	0	15	F2	e	22HeStLy.160
43745.118802	0.05	B3Sigma-	4	15	F1	e	X3Sigma-	0	16	F2	e	22HeStLy.161
43738.500898	0.05	B3Sigma-	4	16	F1	e	X3Sigma-	0	17	F2	e	22HeStLy.162
43731.415012	0.05	B3Sigma-	4	17	F1	e	X3Sigma-	0	18	F2	e	22HeStLy.163
43723.860488	0.05	B3Sigma-	4	18	F1	e	X3Sigma-	0	19	F2	e	22HeStLy.164
43715.836802	0.05	B3Sigma-	4	19	F1	e	X3Sigma-	0	20	F2	e	22HeStLy.165
43707.343535	0.05	B3Sigma-	4	20	F1	e	X3Sigma-	0	21	F2	e	22HeStLy.166
43698.380350	0.05	B3Sigma-	4	21	F1	e	X3Sigma-	0	22	F2	e	22HeStLy.167
43688.946972	0.05	B3Sigma-	4	22	F1	e	X3Sigma-	0	23	F2	e	22HeStLy.168
