transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43601.696489	0.05	B3Sigma-	4	29	F1	e	X3Sigma-	0	30	F2	e	22HeStLy.178
43588.629841	0.05	B3Sigma-	4	30	F1	e	X3Sigma-	0	31	F2	e	22HeStLy.179
43575.095479	0.05	B3Sigma-	4	31	F1	e	X3Sigma-	0	32	F2	e	22HeStLy.180
43561.093248	0.05	B3Sigma-	4	32	F1	e	X3Sigma-	0	33	F2	e	22HeStLy.181
43546.622998	0.05	B3Sigma-	4	33	F1	e	X3Sigma-	0	34	F2	e	22HeStLy.182
43531.684585	0.05	B3Sigma-	4	34	F1	e	X3Sigma-	0	35	F2	e	22HeStLy.183
43516.277867	0.05	B3Sigma-	4	35	F1	e	X3Sigma-	0	36	F2	e	22HeStLy.184
43500.402709	0.05	B3Sigma-	4	36	F1	e	X3Sigma-	0	37	F2	e	22HeStLy.185
43484.058977	0.05	B3Sigma-	4	37	F1	e	X3Sigma-	0	38	F2	e	22HeStLy.186
43467.246539	0.05	B3Sigma-	4	38	F1	e	X3Sigma-	0	39	F2	e	22HeStLy.187
43449.965266	0.05	B3Sigma-	4	39	F1	e	X3Sigma-	0	40	F2	e	22HeStLy.188
43432.215029	0.05	B3Sigma-	4	40	F1	e	X3Sigma-	0	41	F2	e	22HeStLy.189
43413.995700	0.05	B3Sigma-	4	41	F1	e	X3Sigma-	0	42	F2	e	22HeStLy.190
43395.307152	0.05	B3Sigma-	4	42	F1	e	X3Sigma-	0	43	F2	e	22HeStLy.191
43376.149260	0.05	B3Sigma-	4	43	F1	e	X3Sigma-	0	44	F2	e	22HeStLy.192
43356.521896	0.05	B3Sigma-	4	44	F1	e	X3Sigma-	0	45	F2	e	22HeStLy.193
43336.424935	0.05	B3Sigma-	4	45	F1	e	X3Sigma-	0	46	F2	e	22HeStLy.194
43315.858250	0.05	B3Sigma-	4	46	F1	e	X3Sigma-	0	47	F2	e	22HeStLy.195
